"Hello, Bossface.",
Hello.,
"How are you?",
"I'm all right.",
"Why am I consenting to being recorded and transcribed, Joseph?",
"Because you are.",
"Because that was part of our agreements for how we would do this.",
"Well, of course, because this is our auto-ethnography.",
"It is, isn't it?",
"So are you going to start by receiving informed consent from everyone?",
"No, we decided that we wouldn't bother with that.",
No.,
"On the grounds that we'd set it up for ourselves to go and say, yes, we should be doing this.",
"And then we'd all said, yes, we'll do this.",
"So therefore we already have agreed consent.",
Okay.,
"But yeah, okay.",
"But I think, you know, for due process, we should remind people that this is being video and audio recorded and the transcripts will be used for analysis.",
"And made freely available?",
Yes.,
"So, yes.",
"You can, in fact, already look on our GitHub page and find all the different insults I've called you in the previous sessions.",humor
"That may not be such a good idea, Joseph.",humor
"And yet...",humor
"Someone on the Twitterverse will get upset.",humor
"Well, it's, you know, that's what you get for. for doing self-study of these things.",
Okay.,
Right.,
"So, glorious leader.",
Yeah.,
"Well, actually, now I'm concerned, because if I say glorious leader, it gets transcribed.",
Okay.,
"Wouldn't be the worst thing we've said so far.",
"But as you can very well see, I am in the office as mandated, but you both couldn't make it in.",
"But I just felt that on principle I should come in to demonstrate my commitment.",
Okay.,
"Okay, what are we doing?",
"So, me, Francois, Miguel, have been through the form.",
"You fill in to pre-register a study.",
"Our basic conclusion, having filled it in, was that we don't know what the hell we're doing.",confusion
Okay.,
"Whilst we think we filled things in correctly, we felt that we ought to have the only other person in the whole of this silly working group who is even a vaguest idea of what this process actually is to filling in these things.",checking
Okay.,
"Go and have a look at it.",
"So I did and I, so I have done my homework.",
Great.,
Okay.,
"So I did.",
"My question to you was to what extent are you happy for me to directly edit or to what extent do you want to do this right in the meeting now?",discussion
"So we could put it up on the screen. we could discuss, I could edit it there and then.",
"There are things that I think are perfectly fine.",
"I think there are things that I don't think we need, and I think there are things that we need to potentially think about changing.",discussion
"But that's just my view.",
"So if you're doing this collectively, then we need to decide what we are happy with.",discussion
"So my view would be, so normally we're doing this on my laptop, which makes it easy for me to share screen, which is why I've had to turn on the silly recording thing.",
"My view is if you start sharing your screen, it should all be picked up by teams.",
"Let's edit it here and now.",
Okay.,
"Well, I mean, I can, I'm happy to share my screen.",
"Yeah, yeah.",
"Let me.",
"Otherwise, we're not all really doing it together, and I feel that's sort of slightly cheating.",
Okay.,
"So I trust that you can see my screen.",
"We can.",
And...,
"How are you, Francois, by the way?",
"I hear you've been horribly sick.",
"I'm okay.",
"Well, I'm sorry.",
"I didn't ask you about your illness and well-be. because I didn't want it to be transferred.",
Yes.,
Okay.,
Okay.,
"So you haven't put any affiliated institutions.",discussion
"Why not?",discussion
"I think it's because we could not.","discussion,annoyance"
"I think they're inherited from the contributors and none of us have put in our institutional affiliation to our account.","discussion,annoyance"
"Oh, okay.","discussion,annoyance"
